source,target,id,length,maxspeed,geometry,highway,cost,incoming_cell,outgoing_cell,lca_res
7057070661,7674060276,"(7057070661, 7674060276)",63.129999999999995,20.0,"LINESTRING (-84.6031494140625 37.09122848510742, -84.6025161743164 37.09136962890625, -84.60246276855469 37.09137725830078)",service,11.3634,8f44cb2c9655a48,8f44cb2c9644751,9
7674060274,7674060262,"(7674060274, 7674060262)",18.434,30.0,"LINESTRING (-84.60319519042969 37.09135437011719, -84.6032485961914 37.091514587402344)",residential,2.21208,8f44cb2c9640b8d,8f44cb2c9640919,11
7674060274,7674060275,"(7674060274, 7674060275)",112.082,20.0,"LINESTRING (-84.60319519042969 37.09135437011719, -84.60198211669922 37.091636657714844)",service,20.17476,8f44cb2c9651ccc,8f44cb2c9640919,9
7674060274,7057070661,"(7674060274, 7057070661)",14.575,30.0,"LINESTRING (-84.6031494140625 37.09122848510742, -84.60319519042969 37.09135437011719)",residential,1.7489999999999999,8f44cb2c9644751,8f44cb2c9640919,10
7674060262,7674060274,"(7674060262, 7674060274)",18.434,30.0,"LINESTRING (-84.60319519042969 37.09135437011719, -84.6032485961914 37.091514587402344)",residential,2.21208,8f44cb2c9640919,8f44cb2c9640b8d,11
7674060262,167893746,"(7674060262, 167893746)",13.582,30.0,"LINESTRING (-84.6032485961914 37.091514587402344, -84.60327911376953 37.09161376953125, -84.60328674316406 37.09163284301758)",residential,1.62984,8f44cb2c9640ac9,8f44cb2c9640b8d,12
7674060262,7674060275,"(7674060262, 7674060275)",121.869,20.0,"LINESTRING (-84.6032485961914 37.091514587402344, -84.60214233398438 37.09176254272461, -84.60198211669922 37.091636657714844)",service,21.936420000000002,8f44cb2c9651ccc,8f44cb2c9640b8d,9
167893746,167965100,"(167893746, 167965100)",115.449,30.0,"LINESTRING (-84.60328674316406 37.09163284301758, -84.60203552246094 37.0919189453125)",residential,13.853879999999998,8f44cb2c9651648,8f44cb2c9640ac9,9
167893746,167893748,"(167893746, 167893748)",82.25999999999999,30.0,"LINESTRING (-84.60328674316406 37.09163284301758, -84.60343933105469 37.092037200927734, -84.60353088378906 37.09234619140625)",residential,9.871199999999998,8f44cb2c964eae3,8f44cb2c9640ac9,9
167893746,7674060262,"(167893746, 7674060262)",13.582,30.0,"LINESTRING (-84.60328674316406 37.09163284301758, -84.60327911376953 37.09161376953125, -84.6032485961914 37.091514587402344)",residential,1.62984,8f44cb2c9640b8d,8f44cb2c9640ac9,12
167895063,11471045721,"(167895063, 11471045721)",23.963,30.0,"LINESTRING (-84.60810852050781 37.07854461669922, -84.60787963867188 37.07865905761719)",residential,2.87556,8f44cb2c912514b,8f44cb2c98d640a,7
167895063,11471045720,"(167895063, 11471045720)",46.564,40.0,"LINESTRING (-84.60787200927734 37.07817077636719, -84.60810852050781 37.07854461669922)",unclassified,4.19076,8f44cb2c988b181,8f44cb2c98d640a,8
167895063,11471045765,"(167895063, 11471045765)",73.985,40.0,"LINESTRING (-84.60810852050781 37.07854461669922, -84.6083755493164 37.078948974609375, -84.608154296875 37.07905960083008)","['unclassified', 'service']",6.658650000000001,8f44cb2c98d2764,8f44cb2c98d640a,10
11471045721,11471045729,"(11471045721, 11471045729)",14.781,20.0,"LINESTRING (-84.60787963867188 37.07865905761719, -84.60778045654297 37.07855224609375)",service,2.6605800000000004,8f44cb2c9125c4d,8f44cb2c912514b,11
11471045721,167895063,"(11471045721, 167895063)",23.963,30.0,"LINESTRING (-84.60810852050781 37.07854461669922, -84.60787963867188 37.07865905761719)",residential,2.87556,8f44cb2c98d640a,8f44cb2c912514b,7
11471045721,1135035657,"(11471045721, 1135035657)",40.803,30.0,"LINESTRING (-84.60787963867188 37.07865905761719, -84.6077651977539 37.07872009277344, -84.60750579833984 37.07887268066406)",residential,4.89636,8f44cb2c9121d9e,8f44cb2c912514b,10
1135035657,11471045721,"(1135035657, 11471045721)",40.803,30.0,"LINESTRING (-84.60750579833984 37.07887268066406, -84.6077651977539 37.07872009277344, -84.60787963867188 37.07865905761719)",residential,4.89636,8f44cb2c912514b,8f44cb2c9121d9e,10
167895150,11872571606,"(167895150, 11872571606)",62.518,60.0,"LINESTRING (-84.5858383178711 37.09765625, -84.58524322509766 37.097957611083984)",secondary,3.75108,8f44cb2cb2c526b,8f44cb2cb2eeb42,9
167895150,167868386,"(167895150, 167868386)",27.51,60.0,"LINESTRING (-84.58610534667969 37.097530364990234, -84.5858383178711 37.09765625)",secondary,1.6506,8f44cb2cb2ec025,8f44cb2cb2eeb42,10
167895150,167895164,"(167895150, 167895164)",341.61299999999994,30.0,"LINESTRING (-84.5858383178711 37.09765625, -84.58594512939453 37.09774398803711, -84.5860366821289 37.09783935546875, -84.58695983886719 37.098876953125, -84.58724975585938 37.09920120239258, -84.58782958984375 37.099788665771484, -84.588134765625 37.100120544433594)",residential,40.99355999999999,8f2669a69a5191e,8f44cb2cb2eeb42,-1
167895164,167895150,"(167895164, 167895150)",341.613,30.0,"LINESTRING (-84.588134765625 37.100120544433594, -84.58782958984375 37.099788665771484, -84.58724975585938 37.09920120239258, -84.58695983886719 37.098876953125, -84.5860366821289 37.09783935546875, -84.58594512939453 37.09774398803711, -84.5858383178711 37.09765625)",residential,40.993559999999995,8f44cb2cb2eeb42,8f2669a69a5191e,-1
167895459,167921994,"(167895459, 167921994)",130.427,30.0,"LINESTRING (-84.60444641113281 37.079994201660156, -84.60330963134766 37.08073806762695)",residential,15.651239999999998,8f44cb2c9181723,8f44cb2c91ac1b2,9
167895459,167879771,"(167895459, 167879771)",56.088,30.0,"LINESTRING (-84.60493469238281 37.079673767089844, -84.60444641113281 37.079994201660156)",residential,6.73056,8f44cb2c9112b49,8f44cb2c91ac1b2,8
167895459,167895082,"(167895459, 167895082)",91.286,30.0,"LINESTRING (-84.60444641113281 37.079994201660156, -84.60488891601562 37.08038330078125, -84.60516357421875 37.08058166503906)",residential,10.95432,8f44cb2c911ac1a,8f44cb2c91ac1b2,8
167895082,167895466,"(167895082, 167895466)",45.584,30.0,"LINESTRING (-84.60516357421875 37.08058166503906, -84.60554504394531 37.08085632324219)",residential,5.47008,8f44cb2c911bdab,8f44cb2c911ac1a,10
