length,maxspeed,geometry,highway,cost,incoming_cell,outgoing_cell,lca_res,id
7.08,20.0,"LINESTRING (-122.89957427978516 49.235321044921875, -122.89952087402344 49.23527908325195, -122.8995132446289 49.23527145385742)",service,1.2744,644733726897866763,644733726897867652,11,27
149.451,50.0,"LINESTRING (-122.89753723144531 49.23525619506836, -122.89756774902344 49.23527526855469, -122.89761352539062 49.23529052734375, -122.8976821899414 49.23530578613281, -122.89957427978516 49.235321044921875)",tertiary,10.760472,644733726897867652,644733726897949700,9,28
353.287,70.0,"LINESTRING (-122.96846008300781 49.26072692871094, -122.96784973144531 49.26043701171875, -122.96727752685547 49.26018524169922, -122.96686553955078 49.25997543334961, -122.96662139892578 49.25981903076172, -122.96587371826172 49.25927734375, -122.96536254882812 49.258914947509766, -122.96495056152344 49.2585563659668)",primary_link,18.169045714285716,644733694820751198,644733694822739316,7,29
302.388,70.0,"LINESTRING (-122.96846008300781 49.26072692871094, -122.96746063232422 49.26038360595703, -122.967041015625 49.2602424621582, -122.96560668945312 49.25984573364258, -122.96487426757812 49.259647369384766, -122.96467590332031 49.25959396362305)",primary,15.551382857142857,644733694820848139,644733694822739316,7,30
74.231,30.0,"LINESTRING (-122.96101379394531 49.226932525634766, -122.96101379394531 49.22626495361328)",residential,8.90772,644733726884477989,644733726876718995,7,31
74.231,30.0,"LINESTRING (-122.96101379394531 49.226932525634766, -122.96101379394531 49.22626495361328)",residential,8.90772,644733726876718995,644733726884477989,7,32
51.748999999999995,30.0,"LINESTRING (-122.96101379394531 49.22626495361328, -122.96101379394531 49.22586441040039, -122.96101379394531 49.225799560546875)",residential,6.209879999999999,644733726884480710,644733726884477989,10,33
60.948,20.0,"LINESTRING (-122.96101379394531 49.22626495361328, -122.96109008789062 49.22626495361328, -122.96159362792969 49.22626495361328, -122.96185302734375 49.226261138916016)",service,10.970640000000001,644733726884467373,644733726884477989,10,34
34.358,30.0,"LINESTRING (-122.96101379394531 49.225799560546875, -122.96101379394531 49.22573471069336, -122.96101379394531 49.22555160522461, -122.96101379394531 49.22549057006836)",residential,4.122959999999999,644733726884482148,644733726884480710,11,35
51.748999999999995,30.0,"LINESTRING (-122.96101379394531 49.225799560546875, -122.96101379394531 49.22586441040039, -122.96101379394531 49.22626495361328)",residential,6.209879999999999,644733726884477989,644733726884480710,10,36
272.58799999999997,30.0,"LINESTRING (-122.96101379394531 49.225799560546875, -122.96109008789062 49.225799560546875, -122.96115112304688 49.225799560546875, -122.9646224975586 49.225799560546875, -122.96464538574219 49.225799560546875, -122.96476745605469 49.225799560546875)",residential,32.710559999999994,644733726884835907,644733726884480710,8,37
20.784,30.0,"LINESTRING (-122.96101379394531 49.22549057006836, -122.96101379394531 49.22543716430664, -122.96101379394531 49.225303649902344)",residential,2.49408,644733726884374280,644733726884482148,9,38
34.358,30.0,"LINESTRING (-122.96101379394531 49.22549057006836, -122.96101379394531 49.22555160522461, -122.96101379394531 49.22573471069336, -122.96101379394531 49.225799560546875)",residential,4.122959999999999,644733726884480710,644733726884482148,11,39
62.606,30.0,"LINESTRING (-122.96101379394531 49.22549057006836, -122.96094512939453 49.22549057006836, -122.9609146118164 49.22549057006836, -122.96015167236328 49.22549057006836)",residential,7.51272,644733726884435350,644733726884482148,9,40
19.936,30.0,"LINESTRING (-122.96101379394531 49.225303649902344, -122.96101379394531 49.22512435913086)",residential,2.39232,644733726884375659,644733726884374280,11,41
272.606,20.0,"LINESTRING (-122.96101379394531 49.225303649902344, -122.96109771728516 49.225303649902344, -122.96468353271484 49.22530746459961, -122.96476745605469 49.225303649902344)",service,49.06908,644733726884830612,644733726884374280,8,42
20.784,30.0,"LINESTRING (-122.96101379394531 49.225303649902344, -122.96101379394531 49.22543716430664, -122.96101379394531 49.22549057006836)",residential,2.49408,644733726884482148,644733726884374280,9,43
19.936,30.0,"LINESTRING (-122.96101379394531 49.225303649902344, -122.96101379394531 49.22512435913086)",residential,2.39232,644733726884374280,644733726884375659,11,44
38.18,30.0,"LINESTRING (-122.96101379394531 49.22512435913086, -122.96102142333984 49.22483444213867, -122.96102142333984 49.22478103637695)",residential,4.5816,644733726884388902,644733726884375659,10,45
155.25400000000002,20.0,"LINESTRING (-122.96101379394531 49.22512435913086, -122.96095275878906 49.225128173828125, -122.95967864990234 49.22513198852539, -122.95887756347656 49.225101470947266)",service,27.945720000000005,644733726874710926,644733726884375659,7,46
47.083999999999996,30.0,"LINESTRING (-122.96102142333984 49.22478103637695, -122.96102142333984 49.2247200012207, -122.96102142333984 49.22435760498047)",residential,5.650079999999999,644733726884565261,644733726884388902,9,47
113.519,30.0,"LINESTRING (-122.96102142333984 49.22478103637695, -122.96094512939453 49.224761962890625, -122.96089172363281 49.224754333496094, -122.95946502685547 49.2247428894043)",residential,13.62228,644733726874704563,644733726884388902,7,48
38.18,30.0,"LINESTRING (-122.96102142333984 49.22478103637695, -122.96102142333984 49.22483444213867, -122.96101379394531 49.22512435913086)",residential,4.5816,644733726884375659,644733726884388902,10,49
